title	old url	migrate	workbench
Get A Pet License	http://www.baltimorehealth.org/animalcontrol.html#petlicense 	1	
Bioterrorism, Diseases & Natural Disasters			
Code Blue			
Code Red			
Hurricanes			
Pandemic Influenza			
Health Clinics & Services	http://www.baltimorehealth.org/healthservices.html 	1	
Dental Clinic / Oral Health Services	http://www.baltimorehealth.org/dental.html 	1	
Family Planning & Reproductive Health			
Healthy Teens & Young Adults	http://www.baltimorehealth.org/schoolhealth.html 	1	
Men's Health Center	http://www.baltimorehealth.org/mhc.html 	1	
STD Clinichttp://www.baltimorehealth.org/std.html 			
TB Clinic	http://www.baltimorehealth.org/tb.html 	1	
