title,type,old url,migrate,section
Overview,page,http://archive.baltimorecity.gov/Government/AgenciesDepartments/Law.aspx,,1211
Mission,page,http://archive.baltimorecity.gov/Government/AgenciesDepartments/Law/Mission.aspx,,1211
Practice Groups,page,http://archive.baltimorecity.gov/Government/AgenciesDepartments/Law/PracticeGroups.aspx,,1211
Key Personnel,page,http://archive.baltimorecity.gov/Government/AgenciesDepartments/Law/KeyPersonnel.aspx,,1211
Hiring,page,http://archive.baltimorecity.gov/Government/AgenciesDepartments/Law/Hiring.aspx,,1211
Minority and Women's Business Opportunity Office,page,http://archive.baltimorecity.gov/Government/AgenciesDepartments/Law/MinorityandWomensBusinessOpportunityOffice.aspx,,1211
MBEs and WBEs,page,http://archive.baltimorecity.gov/Government/AgenciesDepartments/Law/MinorityandWomensBusinessOpportunityOffice/MBEsandWBEs.aspx,,1211
Certification Process,page,http://archive.baltimorecity.gov/Government/AgenciesDepartments/Law/MinorityandWomensBusinessOpportunityOffice/CertificationProcess.aspx,,1211
Claims,page,http://archive.baltimorecity.gov/Government/AgenciesDepartments/Law/Claims.aspx,,1211
Annual Report,page,http://archive.baltimorecity.gov/LinkClick.aspx?fileticket=k3XauQmI8Oc%3d&tabid=4578,,1211
